"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"        $15,000 to $24,999","7.3%","±2.7","4.1%","±6.1","11.0%","±4.8","-","**","6.1%","±2.4","7.5%","±5.5","3.7%","±2.7","20.7%","±25.6","8.7%","±4.0","11.1%","±9.3","1.2%","±1.4","0.0%","±34.6","3.0%","±3.7","0.0%","±6.5","0.0%","±4.6","0.0%","±47.0","1.6%","±1.1","1.6%","±2.4","1.4%","±1.4","0.0%","±39.3","5.5%","±2.9","2.8%","±3.1","4.9%","±4.7","10.8%","±17.4"
"        $25,000 to $34,999","4.5%","±2.6","6.2%","±6.0","3.7%","±3.3","-","**","3.8%","±1.9","3.4%","±4.1","3.8%","±2.1","0.0%","±36.1","3.9%","±3.0","4.6%","±8.0","5.9%","±6.1","0.0%","±34.6","0.6%","±1.0","0.0%","±6.5","1.3%","±2.3","0.0%","±47.0","2.2%","±1.1","1.6%","±1.4","2.6%","±1.7","14.3%","±16.3","5.1%","±3.3","6.9%","±10.5","4.3%","±4.9","0.0%","±54.1"
"        $35,000 to $49,999","12.2%","±5.2","13.9%","±10.7","9.3%","±6.0","-","**","3.9%","±2.0","2.5%","±2.8","2.7%","±2.1","8.5%","±10.7","8.1%","±3.3","10.4%","±8.7","10.3%","±6.2","0.0%","±34.6","10.3%","±11.2","23.2%","±28.7","7.5%","±10.1","0.0%","±47.0","1.8%","±1.1","0.7%","±1.1","1.3%","±1.1","18.6%","±31.1","7.7%","±3.0","11.4%","±9.6","4.9%","±3.6","0.0%","±54.1"
"        $50,000 to $64,999","5.5%","±3.0","7.4%","±8.4","5.4%","±4.4","-","**","4.4%","±1.7","4.2%","±4.1","5.2%","±2.7","0.0%","±36.1","5.8%","±3.3","2.6%","±4.8","3.9%","±3.9","0.0%","±34.6","13.0%","±9.2","7.7%","±12.4","10.2%","±9.3","67.3%","±57.8","1.8%","±1.0","1.6%","±1.6","1.5%","±1.1","0.0%","±39.3","15.3%","±6.0","16.7%","±10.1","15.9%","±10.6","0.0%","±54.1"
"        $65,000 to $74,999","2.9%","±2.0","5.8%","±5.4","3.7%","±2.7","-","**","3.5%","±2.5","6.8%","±7.0","2.9%","±2.3","0.0%","±36.1","7.2%","±3.3","4.9%","±6.5","11.3%","±7.2","18.2%","±27.2","7.2%","±5.8","0.0%","±6.5","13.9%","±11.1","0.0%","±47.0","0.5%","±0.4","0.2%","±0.3","0.8%","±0.8","0.0%","±39.3","7.7%","±2.7","4.1%","±5.3","8.3%","±4.0","10.8%","±15.8"
"        $75,000 or more","37.3%","±6.0","37.0%","±11.3","41.5%","±9.7","-","**","12.4%","±5.6","18.2%","±11.5","10.9%","±5.9","0.0%","±36.1","32.3%","±10.3","29.0%","±19.7","44.1%","±15.6","21.6%","±32.4","24.6%","±11.2","43.5%","±42.6","16.8%","±15.8","0.0%","±47.0","1.4%","±0.6","0.5%","±0.5","1.5%","±0.9","0.0%","±39.3","26.9%","±7.0","38.2%","±12.0","26.8%","±10.7","78.4%","±23.6"
"        Median income (dollars)","52,663","±17,480","60,278","±32,108","63,911","±22,965","-","**","10,655","±4,242","15,025","±8,342","7,912","±3,584","-","**","53,125","±19,456","31,490","±30,343","71,844","±20,511","-","**","56,549","±29,890","-","**","63,317","±31,930","-","**","4,866","±629","5,214","±754","4,569","±735","-","**","56,484","±11,450","62,727","±17,691","62,610","±12,886","93,264","±11,878"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population for whom poverty status is determined","5,292","±672","1,283","±278","2,054","±429","0","±19","1,693","±267","544","±174","691","±181","36","±31","3,800","±573","702","±299","1,523","±442","68","±78","2,039","±687","596","±438","856","±383","127","±175","350","±83","105","±70","105","±35","36","±30","1,350","±185","278","±81","630","±173","37","±31"
"        Below 100 percent of the poverty level","16.9%","±7.0","9.4%","±6.4","14.7%","±7.7","-","**","34.1%","±8.7","19.7%","±13.9","33.7%","±11.2","66.7%","±32.9","30.5%","±9.1","44.0%","±23.7","16.5%","±10.4","48.5%","±51.5","32.4%","±13.9","10.2%","±14.0","47.7%","±25.0","12.6%","±35.0","29.1%","±9.6","27.6%","±23.2","20.0%","±12.5","36.1%","±48.1","27.9%","±6.9","15.5%","±9.7","31.1%","±10.0","0.0%","±54.1"
"        100 to 149 percent of the poverty level","6.4%","±5.8","0.0%","±3.1","7.1%","±4.4","-","**","5.1%","±3.2","7.7%","±7.8","5.4%","±4.2","19.4%","±30.0","2.7%","±1.9","6.3%","±6.5","0.7%","±1.1","0.0%","±39.9","2.9%","±3.5","0.0%","±6.5","0.0%","±4.6","0.0%","±26.5","2.3%","±2.1","7.6%","±9.4","0.0%","±30.6","0.0%","±54.8","2.2%","±1.4","1.1%","±1.6","1.9%","±2.3","10.8%","±17.4"
"        At or above 150 percent of the poverty level","76.7%","±8.2","90.6%","±6.4","78.2%","±8.5","-","**","60.8%","±8.7","72.6%","±16.3","60.9%","±11.1","13.9%","±20.4","66.8%","±9.0","49.7%","±21.6","82.7%","±10.4","51.5%","±51.5","64.7%","±14.1","89.8%","±14.0","52.3%","±25.0","87.4%","±35.0","68.6%","±9.9","64.8%","±27.3","80.0%","±12.5","63.9%","±48.1","69.9%","±6.8","83.5%","±10.0","67.0%","±9.8","89.2%","±17.4"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Citizenship status","8.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","9.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Place of birth","10.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","12.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","7.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","5.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
