"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"        $15,000 to $24,999","8.6%","±3.3","7.1%","±8.0","11.2%","±4.9","0.0%","±77.5","5.0%","±2.0","4.9%","±5.1","3.6%","±2.6","16.5%","±22.0","4.8%","±2.5","4.5%","±5.5","0.9%","±1.3","0.0%","±35.4","2.2%","±2.7","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","2.7%","±1.1","3.5%","±2.3","2.1%","±1.4","8.0%","±15.2","4.2%","±2.4","3.3%","±2.8","5.0%","±4.3","9.5%","±14.9"
"        $25,000 to $34,999","6.2%","±2.9","6.7%","±5.6","5.2%","±3.6","0.0%","±77.5","4.3%","±2.3","3.8%","±4.7","3.8%","±3.2","2.4%","±5.9","4.5%","±3.3","4.7%","±7.6","6.6%","±5.5","0.0%","±35.4","0.9%","±1.2","0.2%","±1.8","2.0%","±2.5","0.0%","±79.8","2.2%","±1.1","2.0%","±1.7","1.6%","±1.5","8.0%","±14.3","6.7%","±3.5","11.6%","±11.1","5.0%","±5.1","0.0%","±50.8"
"        $35,000 to $49,999","6.8%","±3.2","6.3%","±6.1","9.4%","±5.3","0.0%","±77.5","5.1%","±2.3","5.3%","±4.6","3.8%","±2.1","5.9%","±10.2","7.6%","±2.7","14.3%","±9.0","8.1%","±4.9","0.0%","±35.4","11.7%","±10.2","22.0%","±28.0","10.8%","±10.6","0.0%","±79.8","1.7%","±1.3","0.7%","±0.6","1.8%","±1.7","0.0%","±46.5","9.1%","±2.9","11.2%","±7.2","8.7%","±5.0","0.0%","±50.8"
"        $50,000 to $64,999","9.3%","±3.8","14.1%","±9.1","8.4%","±5.4","0.0%","±77.5","4.2%","±1.8","4.7%","±3.8","4.7%","±3.2","0.0%","±35.4","5.0%","±3.1","3.3%","±6.0","5.3%","±4.8","0.0%","±35.4","14.7%","±10.8","6.6%","±12.8","17.8%","±13.1","0.0%","±79.8","1.4%","±1.0","1.4%","±1.3","1.0%","±1.5","0.0%","±46.5","19.0%","±6.1","22.5%","±10.3","18.6%","±10.7","33.3%","±27.3"
"        $65,000 to $74,999","2.7%","±1.7","3.7%","±3.7","3.7%","±2.9","0.0%","±77.5","3.9%","±2.1","8.4%","±5.4","3.4%","±3.2","0.0%","±35.4","3.2%","±2.3","1.8%","±3.2","3.6%","±3.5","22.4%","±49.9","2.1%","±2.4","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","0.8%","±0.6","0.3%","±0.3","1.0%","±0.9","0.0%","±46.5","7.5%","±3.2","5.8%","±4.8","12.2%","±5.5","0.0%","±50.8"
"        $75,000 or more","35.1%","±6.1","35.4%","±9.8","32.5%","±10.5","0.0%","±77.5","11.3%","±5.5","13.4%","±12.2","11.8%","±5.5","0.0%","±35.4","36.9%","±10.1","24.5%","±19.6","51.3%","±16.4","0.0%","±35.4","23.6%","±11.5","46.9%","±44.1","14.0%","±15.8","0.0%","±79.8","1.6%","±0.8","0.6%","±0.7","1.9%","±1.1","0.0%","±46.5","21.9%","±6.0","30.1%","±12.0","20.9%","±8.4","57.1%","±30.6"
"        Median income (dollars)","53,309","±15,218","59,145","±14,393","47,025","±19,130","-","**","9,846","±4,517","12,245","±7,112","7,417","±2,889","-","**","51,776","±22,711","-","**","80,369","±25,679","-","**","39,668","±30,333","-","**","38,438","±32,076","-","**","4,893","±552","5,292","±746","4,450","±716","-","**","53,382","±10,376","60,385","±12,709","59,957","±8,039","79,000","±26,579"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population for whom poverty status is determined","4,865","±559","1,378","±279","2,044","±386","18","±28","1,916","±302","520","±183","741","±173","38","±34","3,731","±589","696","±268","1,530","±497","64","±74","1,967","±727","559","±442","870","±398","17","±26","393","±94","110","±67","123","±46","19","±17","1,403","±205","330","±108","645","±186","42","±30"
"        Below 100 percent of the poverty level","21.4%","±7.2","8.2%","±6.9","20.2%","±8.4","100.0%","±77.5","34.2%","±9.8","22.1%","±15.6","34.7%","±12.7","71.1%","±39.3","34.9%","±10.1","52.9%","±22.6","16.3%","±9.6","70.3%","±70.3","38.2%","±13.0","8.4%","±13.2","54.4%","±22.2","100.0%","±79.8","23.4%","±8.4","15.5%","±16.9","10.6%","±7.6","57.9%","±57.9","25.4%","±6.8","7.6%","±5.7","25.9%","±11.5","0.0%","±50.8"
"        100 to 149 percent of the poverty level","6.2%","±5.5","0.0%","±2.9","6.2%","±3.5","0.0%","±77.5","2.9%","±2.7","7.1%","±8.7","1.8%","±2.2","15.8%","±28.9","1.7%","±1.3","3.6%","±4.4","0.7%","±1.2","0.0%","±41.1","3.8%","±3.9","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","4.3%","±2.8","9.1%","±8.8","0.0%","±27.2","0.0%","±75.5","3.8%","±1.9","3.9%","±4.1","2.5%","±2.0","9.5%","±14.9"
"        At or above 150 percent of the poverty level","72.4%","±8.2","91.8%","±6.9","73.6%","±8.7","0.0%","±77.5","62.9%","±10.2","70.8%","±17.7","63.6%","±12.4","13.2%","±25.8","63.4%","±10.1","43.5%","±21.9","82.9%","±9.7","29.7%","±70.3","58.1%","±13.7","91.6%","±13.2","45.6%","±22.2","0.0%","±79.8","72.3%","±8.8","75.5%","±19.2","89.4%","±7.6","42.1%","±57.9","70.8%","±7.1","88.5%","±8.1","71.6%","±11.4","90.5%","±14.9"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Citizenship status","6.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","8.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","11.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Place of birth","9.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","8.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","18.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
